id,name,categories,description,overview,features,price,isPaid,hasFreeVersion,image,freeVersionUrl,previewUrl,buyUrl,tutorialUrl
11,Time Saver,productivity,"Comprehensive tracker to manage Time Saver effectively.","Overview of Time Saver: Detailed insights and tracking for Time Saver.","Save time|Optimize tasks|Streamline workflow|Increase efficiency|Easy integration",$5,true,true,/time_saver.png,https://example.com/free/time_saver,https://example.com/preview/time_saver,https://example.com/buy/time_saver,
12,Goal Setter,"productivity,business","Comprehensive tracker to manage Goal Setter effectively.","Overview of Goal Setter: Detailed insights and tracking for Goal Setter.","Set goals|Track progress|Visual dashboards|Customizable targets|Easy goal management",Free,false,true,/goal_setter.png,https://example.com/free/goal_setter,https://example.com/preview/goal_setter,,
13,Project Planner,"productivity,business","Comprehensive tracker to manage Project Planner effectively.","Overview of Project Planner: Detailed insights and tracking for Project Planner.","Plan projects|Assign tasks|Track deadlines|Resource management|Collaborative tools",$5,true,true,/project_planner.png,https://example.com/free/project_planner,https://example.com/preview/project_planner,https://example.com/buy/project_planner,
14,Habit Builder,"productivity,free","Comprehensive tracker to manage Habit Builder effectively.","Overview of Habit Builder: Detailed insights and tracking for Habit Builder.","Build habits|Track consistency|Daily reminders|Progress charts|Motivational tips",$10,true,false,/habit_builder.png,,https://example.com/preview/habit_builder,https://example.com/buy/habit_builder,
15,Sleep Tracker,"health,free","Comprehensive tracker to manage Sleep Tracker effectively.","Overview of Sleep Tracker: Detailed insights and tracking for Sleep Tracker.","Monitor sleep|Track hours|Analyze patterns|Improve quality|User-friendly reports",Free,false,true,/sleep_tracker.png,https://example.com/free/sleep_tracker,https://example.com/preview/sleep_tracker,,
16,Water Intake Tracker,"health,free","Comprehensive tracker to manage Water Intake Tracker effectively.","Overview of Water Intake Tracker: Detailed insights and tracking for Water Intake Tracker.","Log water intake|Hydration reminders|Daily goals|Progress charts|Custom notifications",$10,true,false,/water_intake_tracker.png,,https://example.com/preview/water_intake_tracker,https://example.com/buy/water_intake_tracker,
17,Calorie Counter,"health,free","Comprehensive tracker to manage Calorie Counter effectively.","Overview of Calorie Counter: Detailed insights and tracking for Calorie Counter.","Count calories|Track meals|Nutrient analysis|Daily logging|Easy-to-read charts",$5,true,true,/calorie_counter.png,https://example.com/free/calorie_counter,https://example.com/preview/calorie_counter,https://example.com/buy/calorie_counter,
18,Mood Tracker,"health,productivity","Comprehensive tracker to manage Mood Tracker effectively.","Overview of Mood Tracker: Detailed insights and tracking for Mood Tracker.","Log mood|Identify trends|Daily journaling|Visual reports|Simple interface",Free,false,true,/mood_tracker.png,https://example.com/free/mood_tracker,https://example.com/preview/mood_tracker,,
19,Study Tracker,"productivity,education","Comprehensive tracker to manage Study Tracker effectively.","Overview of Study Tracker: Detailed insights and tracking for Study Tracker.","Track study hours|Monitor subjects|Set reminders|Visual progress|Customizable schedules",$5,true,true,/study_tracker.png,https://example.com/free/study_tracker,https://example.com/preview/study_tracker,https://example.com/buy/study_tracker,
20,Reading Tracker,"education,free","Comprehensive tracker to manage Reading Tracker effectively.","Overview of Reading Tracker: Detailed insights and tracking for Reading Tracker.","Log books|Track progress|Set reading goals|Review summaries|User-friendly design",$10,true,false,/reading_tracker.png,,https://example.com/preview/reading_tracker,https://example.com/buy/reading_tracker,
21,Sales Tracker,"business,finances","Comprehensive tracker to manage Sales Tracker effectively.","Overview of Sales Tracker: Detailed insights and tracking for Sales Tracker.","Monitor sales|Track leads|Analyze performance|Generate reports|Custom dashboards",Free,false,true,/sales_tracker.png,https://example.com/free/sales_tracker,https://example.com/preview/sales_tracker,,
22,Marketing Tracker,business,"Comprehensive tracker to manage Marketing Tracker effectively.","Overview of Marketing Tracker: Detailed insights and tracking for Marketing Tracker.","Track campaigns|Analyze metrics|Monitor ROI|Visual analytics|Easy setup",$10,true,false,/marketing_tracker.png,,https://example.com/preview/marketing_tracker,https://example.com/buy/marketing_tracker,
23,Fitness Tracker,"health,productivity","Comprehensive tracker to manage Fitness Tracker effectively.","Overview of Fitness Tracker: Detailed insights and tracking for Fitness Tracker.","Log workouts|Monitor progress|Set goals|Track calories|Visual reports",$5,true,true,/fitness_tracker.png,https://example.com/free/fitness_tracker,https://example.com/preview/fitness_tracker,https://example.com/buy/fitness_tracker,
24,Energy Tracker,"utilities,finances","Comprehensive tracker to manage Energy Tracker effectively.","Overview of Energy Tracker: Detailed insights and tracking for Energy Tracker.","Monitor consumption|Track costs|Generate reports|Set alerts|Easy integration",Free,false,true,/energy_tracker.png,https://example.com/free/energy_tracker,https://example.com/preview/energy_tracker,,
25,Customer Tracker,business,"Comprehensive tracker to manage Customer Tracker effectively.","Overview of Customer Tracker: Detailed insights and tracking for Customer Tracker.","Log customer data|Analyze behavior|Segment audience|Generate reports|Easy CRM integration",$5,true,true,/customer_tracker.png,https://example.com/free/customer_tracker,https://example.com/preview/customer_tracker,https://example.com/buy/customer_tracker,
26,Lead Tracker,business,"Comprehensive tracker to manage Lead Tracker effectively.","Overview of Lead Tracker: Detailed insights and tracking for Lead Tracker.","Capture leads|Monitor pipeline|Track conversions|Integrate CRM|Custom dashboards",$10,true,false,/lead_tracker.png,,https://example.com/preview/lead_tracker,https://example.com/buy/lead_tracker,
27,Order Tracker,business,"Comprehensive tracker to manage Order Tracker effectively.","Overview of Order Tracker: Detailed insights and tracking for Order Tracker.","Track orders|Manage shipments|Update statuses|Generate invoices|Easy integration",Free,false,true,/order_tracker.png,https://example.com/free/order_tracker,https://example.com/preview/order_tracker,,
28,Inventory Tracker,business,"Comprehensive tracker to manage Inventory Tracker effectively.","Overview of Inventory Tracker: Detailed insights and tracking for Inventory Tracker.","Manage stock|Track items|Set reorder alerts|Visual dashboards|Reporting tools",$10,true,false,/inventory_tracker.png,,https://example.com/preview/inventory_tracker,https://example.com/buy/inventory_tracker,
29,Income Tracker,finances,"Comprehensive tracker to manage Income Tracker effectively.","Overview of Income Tracker: Detailed insights and tracking for Income Tracker.","Record income|Analyze trends|Generate reports|Custom categories|Easy export",$5,true,true,/income_tracker.png,https://example.com/free/income_tracker,https://example.com/preview/income_tracker,https://example.com/buy/income_tracker,
30,Profit Tracker,finances,"Comprehensive tracker to manage Profit Tracker effectively.","Overview of Profit Tracker: Detailed insights and tracking for Profit Tracker.","Monitor profits|Visual reports|Trend analysis|Custom metrics|Easy sharing",Free,false,true,/profit_tracker.png,https://example.com/free/profit_tracker,https://example.com/preview/profit_tracker,
31,Loss Tracker,finances,"Comprehensive tracker to manage Loss Tracker effectively.","Overview of Loss Tracker: Detailed insights and tracking for Loss Tracker.","Record losses|Analyze expenses|Identify patterns|Custom alerts|Simple interface",$5,true,true,/loss_tracker.png,https://example.com/free/loss_tracker,https://example.com/preview/loss_tracker,https://example.com/buy/loss_tracker,
32,Growth Tracker,finances,"Comprehensive tracker to manage Growth Tracker effectively.","Overview of Growth Tracker: Detailed insights and tracking for Growth Tracker.","Monitor growth|Set targets|Visual analytics|Trend reports|Easy export",$10,true,false,/growth_tracker.png,,https://example.com/preview/growth_tracker,https://example.com/buy/growth_tracker,
33,Performance Tracker,"business,productivity","Comprehensive tracker to manage Performance Tracker effectively.","Overview of Performance Tracker: Detailed insights and tracking for Performance Tracker.","Analyze performance|Set KPIs|Visual dashboards|Custom reports|User-friendly",Free,false,true,/performance_tracker.png,https://example.com/free/performance_tracker,https://example.com/preview/performance_tracker,
34,Revenue Tracker,finances,"Comprehensive tracker to manage Revenue Tracker effectively.","Overview of Revenue Tracker: Detailed insights and tracking for Revenue Tracker.","Track revenue|Visual analytics|Custom metrics|Trend reports|Easy export",$10,true,false,/revenue_tracker.png,,https://example.com/preview/revenue_tracker,https://example.com/buy/revenue_tracker,
35,Cost Tracker,finances,"Comprehensive tracker to manage Cost Tracker effectively.","Overview of Cost Tracker: Detailed insights and tracking for Cost Tracker.","Monitor costs|Analyze expenses|Custom alerts|Generate reports|User-friendly",$5,true,true,/cost_tracker.png,https://example.com/free/cost_tracker,https://example.com/preview/cost_tracker,https://example.com/buy/cost_tracker,
36,Cash Flow Tracker,finances,"Comprehensive tracker to manage Cash Flow Tracker effectively.","Overview of Cash Flow Tracker: Detailed insights and tracking for Cash Flow Tracker.","Track cash flow|Visual reports|Custom metrics|Expense analysis|Easy export",Free,false,true,/cash_flow_tracker.png,https://example.com/free/cash_flow_tracker,https://example.com/preview/cash_flow_tracker,
37,Debt Tracker,finances,"Comprehensive tracker to manage Debt Tracker effectively.","Overview of Debt Tracker: Detailed insights and tracking for Debt Tracker.","Record debts|Set payment reminders|Analyze trends|Custom alerts|User-friendly",$5,true,true,/debt_tracker.png,https://example.com/free/debt_tracker,https://example.com/preview/debt_tracker,https://example.com/buy/debt_tracker,
38,Savings Tracker,"finances,free","Comprehensive tracker to manage Savings Tracker effectively.","Overview of Savings Tracker: Detailed insights and tracking for Savings Tracker.","Track savings|Visual progress|Set goals|Custom reports|Easy export",$10,true,false,/savings_tracker.png,,https://example.com/preview/savings_tracker,https://example.com/buy/savings_tracker,
39,Investment Growth Tracker,finances,"Comprehensive tracker to manage Investment Growth Tracker effectively.","Overview of Investment Growth Tracker: Detailed insights and tracking for Investment Growth Tracker.","Monitor investments|Track growth|Visual charts|Custom metrics|Easy export",Free,false,true,/investment_growth_tracker.png,https://example.com/free/investment_growth_tracker,https://example.com/preview/investment_growth_tracker,
40,Asset Tracker,finances,"Comprehensive tracker to manage Asset Tracker effectively.","Overview of Asset Tracker: Detailed insights and tracking for Asset Tracker.","Track assets|Visual dashboards|Custom reports|Trend analysis|Easy export",$10,true,false,/asset_tracker.png,,https://example.com/preview/asset_tracker,https://example.com/buy/asset_tracker,
41,Liability Tracker,finances,"Comprehensive tracker to manage Liability Tracker effectively.","Overview of Liability Tracker: Detailed insights and tracking for Liability Tracker.","Record liabilities|Monitor trends|Custom alerts|Generate reports|User-friendly",$5,true,true,/liability_tracker.png,https://example.com/free/liability_tracker,https://example.com/preview/liability_tracker,https://example.com/buy/liability_tracker,
42,Risk Tracker,business,"Comprehensive tracker to manage Risk Tracker effectively.","Overview of Risk Tracker: Detailed insights and tracking for Risk Tracker.","Assess risks|Visual analytics|Custom reports|Trend monitoring|Easy export",Free,false,true,/risk_tracker.png,https://example.com/free/risk_tracker,https://example.com/preview/risk_tracker,
43,Opportunity Tracker,business,"Comprehensive tracker to manage Opportunity Tracker effectively.","Overview of Opportunity Tracker: Detailed insights and tracking for Opportunity Tracker.","Identify opportunities|Track leads|Custom alerts|Visual analytics|Easy integration",$5,true,true,/opportunity_tracker.png,https://example.com/free/opportunity_tracker,https://example.com/preview/opportunity_tracker,https://example.com/buy/opportunity_tracker,
44,Feedback Tracker,"business,free","Comprehensive tracker to manage Feedback Tracker effectively.","Overview of Feedback Tracker: Detailed insights and tracking for Feedback Tracker.","Collect feedback|Analyze responses|Generate reports|Custom surveys|User-friendly",$10,true,false,/feedback_tracker.png,,https://example.com/preview/feedback_tracker,https://example.com/buy/feedback_tracker,
45,Funnel Tracker,business,"Comprehensive tracker to manage Funnel Tracker effectively.","Overview of Funnel Tracker: Detailed insights and tracking for Funnel Tracker.","Monitor funnels|Track conversions|Visual analytics|Custom reports|Easy integration",Free,false,true,/funnel_tracker.png,https://example.com/free/funnel_tracker,https://example.com/preview/funnel_tracker,
46,Campaign Tracker,business,"Comprehensive tracker to manage Campaign Tracker effectively.","Overview of Campaign Tracker: Detailed insights and tracking for Campaign Tracker.","Track campaigns|Monitor metrics|Generate reports|Custom dashboards|Easy setup",$10,true,false,/campaign_tracker.png,,https://example.com/preview/campaign_tracker,https://example.com/buy/campaign_tracker,
47,SEO Tracker,business,"Comprehensive tracker to manage SEO Tracker effectively.","Overview of SEO Tracker: Detailed insights and tracking for SEO Tracker.","Monitor keywords|Track rankings|Analyze metrics|Generate reports|User-friendly",$5,true,true,/seo_tracker.png,https://example.com/free/seo_tracker,https://example.com/preview/seo_tracker,https://example.com/buy/seo_tracker,
48,Social Media Tracker,business,"Comprehensive tracker to manage Social Media Tracker effectively.","Overview of Social Media Tracker: Detailed insights and tracking for Social Media Tracker.","Track engagement|Monitor posts|Analyze trends|Generate reports|Easy integration",Free,false,true,/social_media_tracker.png,https://example.com/free/social_media_tracker,https://example.com/preview/social_media_tracker,
49,Content Tracker,business,"Comprehensive tracker to manage Content Tracker effectively.","Overview of Content Tracker: Detailed insights and tracking for Content Tracker.","Manage content|Schedule posts|Track performance|Custom alerts|User-friendly",$5,true,true,/content_tracker.png,https://example.com/free/content_tracker,https://example.com/preview/content_tracker,https://example.com/buy/content_tracker,
50,Blog Tracker,"business,free","Comprehensive tracker to manage Blog Tracker effectively.","Overview of Blog Tracker: Detailed insights and tracking for Blog Tracker.","Manage blogs|Track posts|Analyze traffic|Generate reports|User-friendly",$10,true,false,/blog_tracker.png,,https://example.com/preview/blog_tracker,https://example.com/buy/blog_tracker,
51,Traffic Tracker,business,"Comprehensive tracker to manage Traffic Tracker effectively.","Overview of Traffic Tracker: Detailed insights and tracking for Traffic Tracker.","Monitor traffic|Visual analytics|Custom reports|Trend analysis|Easy export",Free,false,true,/traffic_tracker.png,https://example.com/free/traffic_tracker,https://example.com/preview/traffic_tracker,
52,Engagement Tracker,business,"Comprehensive tracker to manage Engagement Tracker effectively.","Overview of Engagement Tracker: Detailed insights and tracking for Engagement Tracker.","Track engagement|Monitor interactions|Generate reports|Visual analytics|Custom alerts",$10,true,false,/engagement_tracker.png,,https://example.com/preview/engagement_tracker,https://example.com/buy/engagement_tracker,
53,Conversion Tracker,business,"Comprehensive tracker to manage Conversion Tracker effectively.","Overview of Conversion Tracker: Detailed insights and tracking for Conversion Tracker.","Monitor conversions|Track campaigns|Custom reports|Visual dashboards|Easy integration",$5,true,true,/conversion_tracker.png,https://example.com/free/conversion_tracker,https://example.com/preview/conversion_tracker,https://example.com/buy/conversion_tracker,
54,Ad Spend Tracker,business,"Comprehensive tracker to manage Ad Spend Tracker effectively.","Overview of Ad Spend Tracker: Detailed insights and tracking for Ad Spend Tracker.","Track ad spend|Monitor ROI|Custom reports|Visual analytics|Easy integration",Free,false,true,/ad_spend_tracker.png,https://example.com/free/ad_spend_tracker,https://example.com/preview/ad_spend_tracker,
55,Market Research Tracker,business,"Comprehensive tracker to manage Market Research Tracker effectively.","Overview of Market Research Tracker: Detailed insights and tracking for Market Research Tracker.","Collect data|Analyze trends|Custom reports|Visual dashboards|Easy export",$5,true,true,/market_research_tracker.png,https://example.com/free/market_research_tracker,https://example.com/preview/market_research_tracker,https://example.com/buy/market_research_tracker,
56,Competitor Tracker,business,"Comprehensive tracker to manage Competitor Tracker effectively.","Overview of Competitor Tracker: Detailed insights and tracking for Competitor Tracker.","Monitor competitors|Analyze strategies|Custom alerts|Generate reports|Easy integration",$10,true,false,/competitor_tracker.png,,https://example.com/preview/competitor_tracker,https://example.com/buy/competitor_tracker,
57,Employee Tracker,business,"Comprehensive tracker to manage Employee Tracker effectively.","Overview of Employee Tracker: Detailed insights and tracking for Employee Tracker.","Track attendance|Monitor performance|Generate reports|Custom alerts|Easy integration",Free,false,true,/employee_tracker.png,https://example.com/free/employee_tracker,https://example.com/preview/employee_tracker,
58,Team Productivity Tracker,"business,productivity","Comprehensive tracker to manage Team Productivity Tracker effectively.","Overview of Team Productivity Tracker: Detailed insights and tracking for Team Productivity Tracker.","Monitor team tasks|Track deadlines|Visual dashboards|Custom reports|Easy integration",$10,true,false,/team_productivity_tracker.png,,https://example.com/preview/team_productivity_tracker,https://example.com/buy/team_productivity_tracker,
59,Project Deadline Tracker,"business,productivity","Comprehensive tracker to manage Project Deadline Tracker effectively.","Overview of Project Deadline Tracker: Detailed insights and tracking for Project Deadline Tracker.","Set deadlines|Track progress|Custom alerts|Visual timelines|Easy integration",$5,true,true,/project_deadline_tracker.png,https://example.com/free/project_deadline_tracker,https://example.com/preview/project_deadline_tracker,https://example.com/buy/project_deadline_tracker,
